動作名稱,網址,mp4
媒體,https://youtu.be/vVBp3yJOMBI,
心酸,https://youtu.be/sZMlsvWvVAw,
嬰兒,https://youtu.be/nYGX4WI_CF8,
女生,https://youtu.be/5VDJ0huzs1A,
階級,https://youtu.be/DrvNsS2AtTo,
影印,https://youtu.be/Fs51X887aWw,
法官,https://youtu.be/GHvIqyfZEog,
隨意,https://youtu.be/-Q68cmDBras,
吉利,https://youtu.be/Z9djNI4pzpw,
補品,https://youtu.be/RxbvfQ8aFEk,
媽媽,https://youtu.be/PhKbXrPNgiQ,
警衛,https://youtu.be/MuJMFERNt7Y,
積木,https://youtu.be/VnYp843XXiw,
浪漫,https://youtu.be/O79QCoLZBY8,
手語,https://youtu.be/A3o0cOokgRk,
蠟筆,https://youtu.be/9IRHdNhMnDI,
含蓄,https://youtu.be/Y2peAlLa-LQ,
蓮花,https://youtu.be/myq676d4q1E,
拖延,https://youtu.be/MiGFJDMWDNw,
豐富,https://youtu.be/R_6KVG_GKJg,
消失,https://youtu.be/UT5z7bC3A-0,
認知,https://youtu.be/vRoT5lEMcu0,
光顧,https://youtu.be/C7VP5yhnMww,
繁忙,https://youtu.be/tl5XPhZ-KIM,
鬆懈,https://youtu.be/Ejr-F8mmQbY,
不錯,https://youtu.be/KUPuyKkpXzw,
求救,https://youtu.be/Vov2p2hk0vM,
限制,https://youtu.be/xM1RA6jRYfc,
好奇,https://youtu.be/fTot6aM0Z74,
惹禍,https://youtu.be/4XgiUIkcJ8s,
記者,https://youtu.be/HMWgyFv3btw,
佔領,https://youtu.be/ctgLkHiigG8,
概念,https://youtu.be/o0HrVqT96cQ,
延誤,https://youtu.be/-ZhSjiSLSjU,
放心,https://youtu.be/KZjX79flTvw,
離婚,https://youtu.be/LbocLhJu7tg,
對話,https://youtu.be/zGF1NrQtBCY,
欺瞞,https://youtu.be/jiwohgdsw8g,
叮嚀,https://youtu.be/9ZE4IjRNiQ4,
難堪,https://youtu.be/ofrdJLFWoik,
敏感,https://youtu.be/bgD0jsB4d8U,
電台,https://youtu.be/IgNBzlVr6p0,
跟隨,https://youtu.be/lebBqvPOTKQ,
尊敬,https://youtu.be/Kx8aaTlsh0Q,
精巧,https://youtu.be/DvObxWhCYXw,
徵求,https://youtu.be/FFQARoS5oE0,
游泳,https://youtu.be/xdoLvgSt7Js,
深呼吸,https://youtu.be/tev0vOKHKBw,
買賣,https://youtu.be/uRhCWsGQQcc,